2017/03/14 10:55:44 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connecting to tcp://35.154.27.43 with client ID '1488285660625.Muzna' and cleanSession                                   is true as an async clientt 
2017/03/14 10:55:45 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connection to tcp://35.154.27.43 lost!Connection lost (32109) - java.io.EOFException 
2017/03/14 10:55:45 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connected 
2017/03/14 10:55:45 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Published 
2017/03/14 10:55:45 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Delivery complete callback: Publish Completed From JMeter 
2017/03/14 10:55:45 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-6 
2017/03/14 10:55:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-6 
2017/03/14 10:55:45 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-7 
2017/03/14 10:55:45 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connecting to tcp://35.154.27.43 with client ID '1488285660625.Muzna' and cleanSession                                   is true as an async clientt 
2017/03/14 10:55:46 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connected 
2017/03/14 10:55:46 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Delivery complete callback: Publish Completed From JMeter 
2017/03/14 10:55:46 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Published 
2017/03/14 10:55:46 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-7 
2017/03/14 10:55:46 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-7 
2017/03/14 10:55:46 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connection to tcp://35.154.27.43 lost!Connection lost (32109) - java.io.EOFException 
2017/03/14 10:55:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-8 
2017/03/14 10:55:46 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connecting to tcp://35.154.27.43 with client ID '1488285660625.Muzna' and cleanSession                                   is true as an async clientt 
2017/03/14 10:55:47 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connection to tcp://35.154.27.43 lost!Connection lost (32109) - java.io.EOFException 
2017/03/14 10:55:47 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connected 
2017/03/14 10:55:47 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Published 
2017/03/14 10:55:47 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Delivery complete callback: Publish Completed From JMeter 
2017/03/14 10:55:47 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-8 
2017/03/14 10:55:47 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-8 
2017/03/14 10:55:47 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-9 
2017/03/14 10:55:47 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connecting to tcp://35.154.27.43 with client ID '1488285660625.Muzna' and cleanSession                                   is true as an async clientt 
2017/03/14 10:55:48 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connection to tcp://35.154.27.43 lost!Connection lost (32109) - java.io.EOFException 
2017/03/14 10:55:48 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connected 
2017/03/14 10:55:48 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Published 
2017/03/14 10:55:48 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Delivery complete callback: Publish Completed From JMeter 
2017/03/14 10:55:48 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-9 
2017/03/14 10:55:48 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-9 
2017/03/14 10:55:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-10 
2017/03/14 10:55:48 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connecting to tcp://35.154.27.43 with client ID '1488285660625.Muzna' and cleanSession                                   is true as an async clientt 
2017/03/14 10:55:49 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connection to tcp://35.154.27.43 lost!Connection lost (32109) - java.io.EOFException 
2017/03/14 10:55:49 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Connected 
2017/03/14 10:55:49 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Published 
2017/03/14 10:55:49 INFO  - jmeter.protocol.mqtt.paho.clients.AsyncClient: Delivery complete callback: Publish Completed From JMeter 
2017/03/14 10:55:49 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-10 
2017/03/14 10:55:49 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-10 
2017/03/14 10:55:49 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/03/14 10:55:49 ERROR - jmeter.protocol.mqtt.paho.clients.AsyncClient: Client is disconnected Client is disconnected (32101)
	at org.eclipse.paho.client.mqttv3.internal.ExceptionHelper.createMqttException(ExceptionHelper.java:31)
	at org.eclipse.paho.client.mqttv3.internal.ClientComms.disconnect(ClientComms.java:422)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:537)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:506)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:513)
	at org.apache.jmeter.protocol.mqtt.paho.clients.AsyncClient.close(AsyncClient.java:217)
	at org.apache.jmeter.protocol.mqtt.client.ClientPool.clearClient(ClientPool.java:42)
	at org.apache.jmeter.protocol.mqtt.sampler.PublisherSampler.testEnded(PublisherSampler.java:172)
	at org.apache.jmeter.engine.StandardJMeterEngine.notifyTestListenersOfEnd(StandardJMeterEngine.java:216)
	at org.apache.jmeter.engine.StandardJMeterEngine.run(StandardJMeterEngine.java:437)
	at java.lang.Thread.run(Unknown Source)

2017/03/14 10:55:49 ERROR - jmeter.protocol.mqtt.paho.clients.AsyncClient: Client is disconnected Client is disconnected (32101)
	at org.eclipse.paho.client.mqttv3.internal.ExceptionHelper.createMqttException(ExceptionHelper.java:31)
	at org.eclipse.paho.client.mqttv3.internal.ClientComms.disconnect(ClientComms.java:422)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:537)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:506)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:513)
	at org.apache.jmeter.protocol.mqtt.paho.clients.AsyncClient.close(AsyncClient.java:217)
	at org.apache.jmeter.protocol.mqtt.client.ClientPool.clearClient(ClientPool.java:42)
	at org.apache.jmeter.protocol.mqtt.sampler.PublisherSampler.testEnded(PublisherSampler.java:172)
	at org.apache.jmeter.engine.StandardJMeterEngine.notifyTestListenersOfEnd(StandardJMeterEngine.java:216)
	at org.apache.jmeter.engine.StandardJMeterEngine.run(StandardJMeterEngine.java:437)
	at java.lang.Thread.run(Unknown Source)

2017/03/14 10:55:49 ERROR - jmeter.protocol.mqtt.paho.clients.AsyncClient: Client is disconnected Client is disconnected (32101)
	at org.eclipse.paho.client.mqttv3.internal.ExceptionHelper.createMqttException(ExceptionHelper.java:31)
	at org.eclipse.paho.client.mqttv3.internal.ClientComms.disconnect(ClientComms.java:422)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:537)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:506)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:513)
	at org.apache.jmeter.protocol.mqtt.paho.clients.AsyncClient.close(AsyncClient.java:217)
	at org.apache.jmeter.protocol.mqtt.client.ClientPool.clearClient(ClientPool.java:42)
	at org.apache.jmeter.protocol.mqtt.sampler.PublisherSampler.testEnded(PublisherSampler.java:172)
	at org.apache.jmeter.engine.StandardJMeterEngine.notifyTestListenersOfEnd(StandardJMeterEngine.java:216)
	at org.apache.jmeter.engine.StandardJMeterEngine.run(StandardJMeterEngine.java:437)
	at java.lang.Thread.run(Unknown Source)

2017/03/14 10:55:49 ERROR - jmeter.protocol.mqtt.paho.clients.AsyncClient: Client is disconnected Client is disconnected (32101)
	at org.eclipse.paho.client.mqttv3.internal.ExceptionHelper.createMqttException(ExceptionHelper.java:31)
	at org.eclipse.paho.client.mqttv3.internal.ClientComms.disconnect(ClientComms.java:422)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:537)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:506)
	at org.eclipse.paho.client.mqttv3.MqttAsyncClient.disconnect(MqttAsyncClient.java:513)
	at org.apache.jmeter.protocol.mqtt.paho.clients.AsyncClient.close(AsyncClient.java:217)
	at org.apache.jmeter.protocol.mqtt.client.ClientPool.clearClient(ClientPool.java:42)
	at org.apache.jmeter.protocol.mqtt.sampler.PublisherSampler.testEnded(PublisherSampler.java:172)
	at org.apache.jmeter.engine.StandardJMeterEngine.notifyTestListenersOfEnd(StandardJMeterEngine.java:216)
	at org.apache.jmeter.engine.StandardJMeterEngine.run(StandardJMeterEngine.java:437)
	at java.lang.Thread.run(Unknown Source)

2017/03/14 10:55:49 ERROR - jmeter.protocol.mqtt.paho.clients.AsyncClient: Client is disconnected Client is disconnected (32101)
